iter	Logloss
0	0.617020607
1	0.5562003136
2	0.4946022987
3	0.4507715225
4	0.4169545174
5	0.3872097015
6	0.3688241243
7	0.3529395819
8	0.3373293877
9	0.3230213404
10	0.3122322798
11	0.3045151234
12	0.2957755804
13	0.2881989002
14	0.2832844496
15	0.2786920547
16	0.2736798286
17	0.2697111607
18	0.2660839558
19	0.2624360561
20	0.25844872
21	0.2555202007
22	0.2513522863
23	0.2484436512
24	0.2459979534
25	0.2435673952
26	0.2410370827
27	0.2380538702
28	0.2359964848
29	0.2331747532
30	0.2311833858
31	0.2293166637
32	0.2272074699
33	0.2251671314
34	0.2226717472
35	0.2211678028
36	0.2186840773
37	0.2165742874
38	0.214925313
39	0.2135125875
40	0.2120530605
41	0.2105267286
42	0.2084355354
43	0.2064045668
44	0.2043908119
45	0.2029917479
46	0.2016962528
47	0.2006164551
48	0.199430716
49	0.1984098196
50	0.1975970268
51	0.1965386152
52	0.1954104304
53	0.1934114337
54	0.192611444
55	0.1916875243
56	0.1909047127
57	0.1902204752
58	0.188784194
59	0.1871740341
60	0.1856939554
61	0.1850465894
62	0.1841911197
63	0.1833429098
64	0.1820963144
65	0.1811608553
66	0.179928422
67	0.1791620851
68	0.1779008985
69	0.1770317078
70	0.1760456324
71	0.1754036069
72	0.1745854616
73	0.1739928365
74	0.173408246
75	0.1725251794
76	0.1716465831
77	0.1706014991
78	0.1696780562
79	0.1685913205
80	0.1675344944
81	0.1669351339
82	0.1658719301
83	0.1651737452
84	0.1645505428
85	0.1637447834
86	0.1629967809
87	0.1623721123
88	0.1616339684
89	0.1610671759
90	0.1601786733
91	0.1593628287
92	0.158602345
93	0.1578652859
94	0.1573025107
95	0.1567373037
96	0.1558209896
97	0.1551805735
98	0.1546592832
99	0.1540444851
100	0.1532156467
101	0.1524859428
102	0.1520189762
103	0.1515167952
104	0.151053226
105	0.1505397558
106	0.1499036789
107	0.1492890596
108	0.1486581922
109	0.1482269526
110	0.1476828575
111	0.1470255375
112	0.1466078401
113	0.1460087061
114	0.1454357624
115	0.1447774053
116	0.1442839384
117	0.1438178539
118	0.1432971478
119	0.1428367138
120	0.142359519
121	0.1419874191
122	0.1415606856
123	0.1408337593
124	0.1403406382
125	0.1399124146
126	0.1395559549
127	0.1391600132
128	0.1385218382
129	0.1379902601
130	0.1376441002
131	0.1372263432
132	0.1368504047
133	0.1365287542
134	0.1360302806
135	0.1356859207
136	0.1352382421
137	0.1346069932
138	0.1342781544
139	0.1339512825
140	0.1336290836
141	0.1331271648
142	0.132779479
143	0.1321973443
144	0.1318885446
145	0.1314217329
146	0.1309959292
147	0.1306378245
148	0.1301953077
149	0.1297690749
150	0.1294406176
151	0.1291739225
152	0.1288775444
153	0.1285145044
154	0.128179574
155	0.127895236
156	0.1275866628
157	0.1271516562
158	0.1265585899
159	0.1261558175
160	0.1257745385
161	0.1253085494
162	0.1249470234
163	0.1245663166
164	0.1241668701
165	0.1238388777
166	0.1233463764
167	0.1230807781
168	0.1227756381
169	0.1224753141
170	0.121978426
171	0.1216924667
172	0.1214489698
173	0.1211076498
174	0.120870471
175	0.1206744075
176	0.1203977346
177	0.1201555848
178	0.1198952913
179	0.1195444226
180	0.1192958593
181	0.1190284848
182	0.1187946081
183	0.1184316874
184	0.1180382252
185	0.117782557
186	0.117505002
187	0.1171215057
188	0.1168818712
189	0.1165595889
190	0.1163571119
191	0.116038847
192	0.1158134699
193	0.1154398441
194	0.1151142359
195	0.1146315813
196	0.1144092202
197	0.1139766932
198	0.1136762381
199	0.1133788228
