iter	Passed	Remaining
0	4	894
1	8	853
2	12	844
3	16	824
4	22	865
5	26	872
6	31	873
7	37	897
8	41	883
9	45	868
10	50	875
11	56	881
12	61	881
13	66	889
14	71	881
15	75	873
16	80	868
17	85	864
18	89	854
19	93	841
20	97	830
21	102	826
22	106	820
23	110	813
24	114	803
25	119	798
26	123	790
27	127	781
28	131	776
29	135	768
30	139	760
31	143	751
32	147	747
33	152	742
34	156	735
35	159	727
36	164	723
37	168	720
38	173	715
39	177	709
40	182	705
41	186	700
42	190	694
43	194	691
44	199	686
45	203	679
46	207	674
47	211	670
48	215	664
49	219	657
50	222	650
51	226	645
52	231	641
53	235	636
54	239	631
55	244	629
56	248	623
57	252	617
58	256	611
59	260	608
60	264	603
61	268	598
62	272	593
63	277	589
64	281	584
65	285	579
66	288	573
67	293	569
68	297	564
69	302	560
70	305	555
71	309	550
72	313	545
73	317	539
74	320	534
75	325	530
76	329	526
77	333	522
78	338	518
79	342	514
80	346	509
81	350	504
82	354	500
83	358	495
84	362	490
85	366	485
86	370	480
87	374	476
88	377	471
89	382	467
90	386	463
91	390	458
92	393	452
93	398	449
94	401	443
95	404	438
96	408	433
97	413	430
98	418	426
99	422	422
100	426	418
101	431	414
102	435	409
103	439	405
104	444	402
105	449	398
106	452	393
107	456	389
108	461	385
109	466	381
110	470	377
111	474	372
112	478	368
113	482	363
114	486	359
115	491	355
116	496	351
117	500	348
118	505	343
119	510	340
120	514	336
121	518	331
122	523	327
123	527	323
124	531	319
125	535	314
126	540	310
127	544	306
128	548	301
129	552	297
130	557	293
131	561	289
132	565	284
133	568	280
134	573	276
135	577	271
136	581	267
137	585	263
138	590	259
139	594	254
140	598	250
141	602	245
142	606	241
143	610	237
144	614	233
145	618	228
146	622	224
147	626	220
148	630	215
149	634	211
150	638	207
151	642	203
152	646	198
153	651	194
154	655	190
155	659	186
156	664	181
157	669	177
158	674	173
159	678	169
160	682	165
161	686	161
162	690	156
163	694	152
164	698	148
165	703	144
166	707	139
167	711	135
168	715	131
169	720	127
170	724	122
171	728	118
172	733	114
173	738	110
174	742	106
175	747	101
176	750	97
177	754	93
178	759	89
179	763	84
180	767	80
181	771	76
182	774	71
183	778	67
184	783	63
185	787	59
186	792	55
187	797	50
188	802	46
189	806	42
190	811	38
191	815	33
192	819	29
193	823	25
194	827	21
195	831	16
196	835	12
197	838	8
198	843	4
199	847	0
